Country,City,Location/Site,Sampling_date,Trap_type,Green_level,Green_area_coverage,Blue_area_coverage,Temperature_2m,Relative_humidity,Wind_speed_10m,Mosquito_species,Mosquito_abundance,Biodiversity_index
Netherlands,Nijmegen,2,2025-07-13,HumanOdor_CO2,3,70.36,27.8,22.19,86.27,4.24,Culex pipiens,12,1.65
France,Montpellier,3,2025-03-15,Light_CO2,1,28.87,38.01,23.54,81.93,3.42,Culex quinquefasciatus,4,2.17
France,Montpellier,7,2025-06-13,HumanOdor_CO2,3,76.92,19.01,22.94,81.23,1.47,Aedes albopictus,28,1.93
Netherlands,Nijmegen,9,2025-10-11,HumanOdor_CO2,2,55.84,34.12,27.95,78.78,2.52,Anopheles gambiae,9,2.15
Netherlands,Utrecht,6,2026-01-09,HumanOdor_CO2,3,70.8,17.25,21.47,74.93,7.28,Aedes albopictus,20,1.31
France,Montpellier,9,2025-08-12,HumanOdor_CO2,4,92.86,16.14,25.92,85.42,1.27,Culex pipiens,30,1.96
Netherlands,Nijmegen,8,2025-11-10,Light_CO2,1,23.65,38.02,25.39,76.14,0.7,Aedes albopictus,3,1.97
Netherlands,Utrecht,5,2025-05-14,Light_CO2,3,68.72,23.91,21.39,89.01,1.95,Culex pipiens,15,0.7
France,Montpellier,6,2025-11-10,HumanOdor_CO2,2,46.18,29.24,25.85,66.78,6.81,Aedes albopictus,19,2.44
Netherlands,Nijmegen,8,2025-04-14,HumanOdor_CO2,1,23.65,38.02,25.93,75.64,4.74,Aedes albopictus,2,0.92
France,Montpellier,2,2025-12-10,HumanOdor_CO2,2,51.25,33.14,21.55,88.01,5.46,Culex quinquefasciatus,13,2.04
Spain,Barcelona,7,2025-07-13,Light_CO2,3,70.08,19.22,21.47,62.32,6.54,Anopheles gambiae,12,1.32
Netherlands,Utrecht,2,2026-01-09,HumanOdor_CO2,1,29.98,42.65,26.51,79.09,5.32,Culex pipiens,1,1.49
Netherlands,Utrecht,4,2025-03-15,Light_CO2,1,17.0,53.86,26.36,83.01,7.75,Culex quinquefasciatus,7,1.73
Spain,Barcelona,2,2025-12-10,HumanOdor_CO2,3,78.39,14.41,27.25,76.86,4.79,Culex pipiens,15,1.36
Spain,Barcelona,3,2025-04-14,HumanOdor_CO2,4,94.45,16.13,29.37,88.99,4.5,Anopheles gambiae,31,2.49
Spain,Barcelona,1,2025-12-10,HumanOdor_CO2,1,24.35,42.69,23.61,75.8,4.43,Anopheles gambiae,2,1.25
Spain,Barcelona,7,2025-11-10,Light_CO2,3,70.08,19.22,24.55,70.32,0.77,Anopheles gambiae,17,1.25
Netherlands,Utrecht,8,2025-03-15,HumanOdor_CO2,1,29.37,29.21,23.54,77.47,5.43,Anopheles gambiae,5,1.08
Netherlands,Utrecht,9,2025-08-12,HumanOdor_CO2,4,100.0,14.24,22.2,71.02,5.86,Aedes aegypti,44,2.19
France,Montpellier,5,2025-05-14,HumanOdor_CO2,2,57.07,28.25,22.74,73.58,4.23,Culex pipiens,7,1.16
France,Montpellier,7,2025-08-12,Light_CO2,3,76.92,19.01,20.74,79.16,7.54,Culex quinquefasciatus,19,2.22
Spain,Barcelona,6,2025-06-13,HumanOdor_CO2,4,97.72,18.77,23.63,70.28,1.95,Aedes albopictus,43,2.01
Netherlands,Nijmegen,2,2025-09-11,Light_CO2,3,70.36,27.8,22.58,83.97,0.46,Aedes albopictus,22,1.71
France,Montpellier,6,2025-05-14,HumanOdor_CO2,2,46.18,29.24,24.64,83.46,1.53,Aedes aegypti,15,1.0
Spain,Barcelona,6,2025-05-14,HumanOdor_CO2,4,97.72,18.77,23.96,94.1,0.66,Aedes aegypti,41,1.42
France,Montpellier,4,2025-09-11,Light_CO2,1,23.84,28.58,26.17,64.24,7.47,Aedes aegypti,12,0.71
Netherlands,Nijmegen,8,2025-05-14,Light_CO2,1,23.65,38.02,21.46,85.18,2.76,Aedes aegypti,2,0.99
Netherlands,Utrecht,5,2026-02-08,Light_CO2,3,68.72,23.91,21.66,75.37,5.72,Anopheles gambiae,13,2.1
Spain,Barcelona,3,2025-07-13,Light_CO2,4,94.45,16.13,21.41,74.36,7.17,Culex pipiens,42,1.18
Netherlands,Nijmegen,7,2025-08-12,HumanOdor_CO2,2,43.07,39.13,32.48,94.22,4.07,Culex quinquefasciatus,6,1.07
Netherlands,Utrecht,9,2025-06-13,HumanOdor_CO2,4,100.0,14.24,22.0,65.8,2.48,Aedes albopictus,57,1.76
Spain,Barcelona,3,2025-03-15,Light_CO2,4,94.45,16.13,22.09,92.8,1.34,Culex quinquefasciatus,25,1.64
Netherlands,Utrecht,6,2025-04-14,HumanOdor_CO2,3,70.8,17.25,23.45,91.29,0.13,Anopheles gambiae,22,1.57
Netherlands,Utrecht,3,2025-05-14,Light_CO2,3,81.2,25.86,21.29,81.55,0.85,Culex quinquefasciatus,17,0.51
France,Montpellier,9,2026-02-08,Light_CO2,4,92.86,16.14,21.99,75.73,6.2,Culex pipiens,43,0.7
France,Montpellier,8,2025-04-14,Light_CO2,1,21.5,47.17,27.89,90.2,3.27,Culex quinquefasciatus,2,1.51
Netherlands,Utrecht,7,2025-03-15,Light_CO2,4,99.0,14.24,23.41,82.56,7.44,Culex pipiens,40,0.75
Netherlands,Utrecht,2,2025-12-10,HumanOdor_CO2,1,29.98,42.65,25.62,92.81,5.43,Culex quinquefasciatus,1,0.65
Spain,Barcelona,3,2025-08-12,HumanOdor_CO2,4,94.45,16.13,27.49,80.43,2.39,Aedes albopictus,18,0.78
Netherlands,Nijmegen,7,2025-07-13,HumanOdor_CO2,2,43.07,39.13,25.43,73.76,7.98,Aedes aegypti,15,2.48
Netherlands,Utrecht,4,2025-04-14,Light_CO2,1,17.0,53.86,24.87,72.16,6.65,Aedes aegypti,9,0.62
France,Montpellier,9,2025-07-13,HumanOdor_CO2,4,92.86,16.14,21.99,83.23,2.64,Culex quinquefasciatus,28,1.36
Netherlands,Utrecht,5,2025-03-15,Light_CO2,3,68.72,23.91,27.81,82.85,0.83,Aedes albopictus,19,2.12
Netherlands,Utrecht,2,2025-11-10,Light_CO2,1,29.98,42.65,25.73,69.37,5.15,Aedes albopictus,3,1.35
Netherlands,Nijmegen,1,2026-02-08,HumanOdor_CO2,4,100.0,0.0,23.74,71.29,4.91,Culex pipiens,53,0.74
Netherlands,Utrecht,9,2025-04-14,HumanOdor_CO2,4,100.0,14.24,22.08,87.96,4.83,Culex pipiens,39,0.81
France,Montpellier,8,2025-04-14,Light_CO2,1,21.5,47.17,27.89,90.2,3.27,Culex pipiens,4,1.51
Spain,Barcelona,5,2025-04-14,HumanOdor_CO2,1,22.9,29.84,26.88,64.45,5.65,Aedes aegypti,4,1.02
Netherlands,Nijmegen,5,2025-10-11,HumanOdor_CO2,4,100.0,7.91,18.95,85.38,0.57,Culex quinquefasciatus,39,1.17
Netherlands,Utrecht,9,2025-12-10,Light_CO2,4,100.0,14.24,21.46,86.99,6.93,Anopheles gambiae,22,1.4
Spain,Barcelona,2,2025-07-13,HumanOdor_CO2,3,78.39,14.41,29.15,83.4,5.73,Aedes aegypti,24,2.32
Netherlands,Nijmegen,1,2025-03-15,HumanOdor_CO2,4,100.0,0.0,22.73,91.27,6.07,Culex quinquefasciatus,39,0.65
Netherlands,Nijmegen,5,2025-03-15,Light_CO2,4,100.0,7.91,23.88,79.17,7.44,Aedes albopictus,73,1.84
France,Montpellier,5,2025-06-13,Light_CO2,2,57.07,28.25,27.48,70.78,4.25,Anopheles gambiae,6,2.36
Netherlands,Utrecht,4,2026-01-09,HumanOdor_CO2,1,17.0,53.86,25.27,70.61,3.83,Aedes aegypti,1,0.69
Spain,Barcelona,6,2026-01-09,HumanOdor_CO2,4,97.72,18.77,22.53,87.98,3.67,Culex pipiens,40,2.0
Netherlands,Utrecht,5,2025-05-14,Light_CO2,3,68.72,23.91,21.39,89.01,1.95,Culex quinquefasciatus,14,0.7
Netherlands,Utrecht,6,2026-01-09,HumanOdor_CO2,3,70.8,17.25,21.47,74.93,7.28,Culex quinquefasciatus,26,1.31
Spain,Barcelona,8,2025-08-12,Light_CO2,3,66.88,15.38,23.67,80.33,4.53,Anopheles gambiae,14,2.49
Netherlands,Utrecht,5,2026-01-09,Light_CO2,3,68.72,23.91,28.59,79.26,6.52,Aedes albopictus,21,1.86
Spain,Barcelona,8,2026-01-09,HumanOdor_CO2,3,66.88,15.38,25.93,74.94,1.35,Aedes aegypti,15,0.88
Netherlands,Nijmegen,3,2025-09-11,HumanOdor_CO2,4,96.11,0.16,24.6,92.54,3.09,Aedes aegypti,41,2.3
Netherlands,Utrecht,2,2025-05-14,HumanOdor_CO2,1,29.98,42.65,24.04,75.44,1.36,Aedes albopictus,1,0.71
France,Montpellier,2,2026-01-09,HumanOdor_CO2,2,51.25,33.14,27.29,78.92,2.16,Culex quinquefasciatus,8,1.7
Netherlands,Nijmegen,4,2025-04-14,HumanOdor_CO2,3,77.09,28.93,21.72,89.58,6.26,Anopheles gambiae,16,2.14
Netherlands,Utrecht,8,2026-02-08,Light_CO2,1,29.37,29.21,27.16,75.62,3.96,Aedes aegypti,10,1.09
France,Montpellier,5,2025-09-11,Light_CO2,2,57.07,28.25,28.19,76.42,2.57,Culex pipiens,8,1.74
Spain,Barcelona,4,2026-02-08,Light_CO2,1,25.66,55.74,24.95,81.55,2.38,Aedes albopictus,3,2.39
France,Montpellier,4,2026-02-08,HumanOdor_CO2,1,23.84,28.58,28.48,78.59,3.55,Aedes aegypti,2,1.21
Netherlands,Utrecht,5,2025-12-10,HumanOdor_CO2,3,68.72,23.91,23.97,75.08,3.88,Culex quinquefasciatus,19,1.2
Netherlands,Nijmegen,2,2025-07-13,HumanOdor_CO2,3,70.36,27.8,22.19,86.27,4.24,Aedes albopictus,32,1.65
Spain,Barcelona,2,2025-10-11,Light_CO2,3,78.39,14.41,25.08,90.15,2.54,Culex pipiens,16,2.49
Netherlands,Utrecht,5,2025-10-11,HumanOdor_CO2,3,68.72,23.91,28.97,84.54,7.06,Aedes albopictus,20,1.01
Spain,Barcelona,4,2025-11-10,HumanOdor_CO2,1,25.66,55.74,22.93,58.15,1.53,Culex pipiens,3,1.24
Spain,Barcelona,2,2026-01-09,Light_CO2,3,78.39,14.41,26.18,81.86,3.17,Aedes albopictus,20,0.86
Netherlands,Utrecht,4,2025-06-13,HumanOdor_CO2,1,17.0,53.86,27.63,81.96,1.79,Culex pipiens,8,1.18
Netherlands,Utrecht,7,2025-04-14,Light_CO2,4,99.0,14.24,27.12,73.91,7.38,Anopheles gambiae,29,1.9
Netherlands,Nijmegen,2,2026-01-09,Light_CO2,3,70.36,27.8,28.55,90.4,5.15,Aedes albopictus,25,2.11
Spain,Barcelona,8,2025-07-13,Light_CO2,3,66.88,15.38,26.19,89.35,3.14,Culex quinquefasciatus,13,2.1
Spain,Barcelona,5,2025-08-12,Light_CO2,1,22.9,29.84,23.8,77.82,3.34,Aedes aegypti,2,2.3
Spain,Barcelona,5,2025-09-11,HumanOdor_CO2,1,22.9,29.84,27.29,71.73,6.9,Anopheles gambiae,0,1.65
France,Montpellier,5,2025-11-10,Light_CO2,2,57.07,28.25,25.43,70.1,0.85,Anopheles gambiae,13,1.69
Netherlands,Utrecht,5,2026-02-08,Light_CO2,3,68.72,23.91,21.66,75.37,5.72,Aedes aegypti,27,2.1
Netherlands,Utrecht,6,2025-07-13,Light_CO2,3,70.8,17.25,26.44,85.48,1.73,Culex pipiens,17,0.94
Netherlands,Nijmegen,9,2025-04-14,Light_CO2,2,55.84,34.12,27.83,80.98,7.97,Culex quinquefasciatus,11,1.9
Spain,Barcelona,4,2026-01-09,HumanOdor_CO2,1,25.66,55.74,24.61,74.29,1.4,Culex pipiens,5,1.42
Netherlands,Utrecht,9,2026-01-09,Light_CO2,4,100.0,14.24,33.65,85.65,2.14,Culex quinquefasciatus,34,1.06
Spain,Barcelona,1,2026-01-09,HumanOdor_CO2,1,24.35,42.69,31.21,74.62,5.41,Aedes albopictus,2,0.53
Netherlands,Nijmegen,9,2025-07-13,Light_CO2,2,55.84,34.12,22.7,74.32,5.93,Aedes aegypti,14,1.22
France,Montpellier,9,2025-09-11,Light_CO2,4,92.86,16.14,25.8,92.78,5.9,Aedes albopictus,48,1.71
France,Montpellier,1,2025-09-11,HumanOdor_CO2,1,25.77,41.14,25.52,79.35,4.92,Culex quinquefasciatus,2,1.62
Spain,Barcelona,3,2025-06-13,Light_CO2,4,94.45,16.13,21.36,101.53,5.81,Culex pipiens,33,0.9
Spain,Barcelona,6,2025-11-10,Light_CO2,4,97.72,18.77,24.02,78.62,2.78,Anopheles gambiae,33,1.33
France,Montpellier,7,2025-08-12,Light_CO2,3,76.92,19.01,20.74,79.16,7.54,Aedes aegypti,26,2.22
France,Montpellier,1,2025-10-11,HumanOdor_CO2,1,25.77,41.14,26.42,75.69,7.85,Culex pipiens,7,2.35
Netherlands,Utrecht,7,2025-08-12,Light_CO2,4,99.0,14.24,22.04,93.79,7.44,Anopheles gambiae,19,1.86
Spain,Barcelona,5,2025-09-11,HumanOdor_CO2,1,22.9,29.84,27.29,71.73,6.9,Aedes albopictus,3,1.65
Netherlands,Utrecht,7,2025-07-13,Light_CO2,4,99.0,14.24,22.12,74.58,5.48,Aedes aegypti,50,1.7
Spain,Barcelona,1,2025-03-15,Light_CO2,1,24.35,42.69,26.01,90.77,4.73,Aedes aegypti,2,1.33
France,Montpellier,7,2025-10-11,HumanOdor_CO2,3,76.92,19.01,21.45,69.42,6.96,Culex pipiens,18,1.98
France,Montpellier,2,2025-10-11,Light_CO2,2,51.25,33.14,20.87,62.07,3.04,Culex quinquefasciatus,4,2.38
Netherlands,Utrecht,2,2025-04-14,HumanOdor_CO2,1,29.98,42.65,23.87,84.59,0.52,Anopheles gambiae,2,2.43
Netherlands,Utrecht,9,2025-05-14,Light_CO2,4,100.0,14.24,24.09,82.05,7.82,Culex quinquefasciatus,35,1.41
France,Montpellier,6,2026-01-09,Light_CO2,2,46.18,29.24,21.72,66.46,2.76,Aedes albopictus,16,1.9
France,Montpellier,4,2025-03-15,Light_CO2,1,23.84,28.58,27.62,75.46,0.07,Culex quinquefasciatus,4,1.65
France,Montpellier,7,2025-10-11,HumanOdor_CO2,3,76.92,19.01,21.45,69.42,6.96,Aedes albopictus,23,1.98
France,Montpellier,1,2025-05-14,HumanOdor_CO2,1,25.77,41.14,26.78,73.14,2.95,Culex quinquefasciatus,3,1.54
Netherlands,Utrecht,9,2025-10-11,Light_CO2,4,100.0,14.24,27.86,80.51,0.1,Culex quinquefasciatus,47,2.03
Netherlands,Utrecht,4,2025-09-11,Light_CO2,1,17.0,53.86,22.45,61.55,5.01,Culex pipiens,4,1.97
Netherlands,Utrecht,3,2025-12-10,Light_CO2,3,81.2,25.86,25.48,75.25,3.89,Aedes aegypti,23,1.14
Spain,Barcelona,9,2026-01-09,HumanOdor_CO2,1,22.5,47.58,25.1,77.16,3.93,Anopheles gambiae,5,2.44
Netherlands,Nijmegen,9,2026-01-09,Light_CO2,2,55.84,34.12,24.86,69.46,5.21,Culex pipiens,11,1.77
Netherlands,Utrecht,6,2025-04-14,HumanOdor_CO2,3,70.8,17.25,23.45,91.29,0.13,Culex pipiens,20,1.57
Netherlands,Nijmegen,5,2025-08-12,HumanOdor_CO2,4,100.0,7.91,19.48,77.83,6.19,Culex quinquefasciatus,47,1.09
France,Montpellier,7,2025-06-13,HumanOdor_CO2,3,76.92,19.01,22.94,81.23,1.47,Culex quinquefasciatus,20,1.93
France,Montpellier,4,2025-10-11,HumanOdor_CO2,1,23.84,28.58,27.24,78.19,2.13,Aedes aegypti,1,1.38
Netherlands,Nijmegen,2,2025-10-11,Light_CO2,3,70.36,27.8,27.04,81.51,4.58,Culex pipiens,12,0.55
France,Montpellier,9,2025-11-10,Light_CO2,4,92.86,16.14,22.88,92.96,7.88,Culex quinquefasciatus,37,2.34
Spain,Barcelona,5,2025-07-13,HumanOdor_CO2,1,22.9,29.84,25.23,83.18,3.29,Aedes aegypti,1,1.93
Netherlands,Utrecht,3,2025-04-14,HumanOdor_CO2,3,81.2,25.86,20.62,66.39,1.74,Aedes aegypti,22,1.27
Netherlands,Nijmegen,6,2025-09-11,Light_CO2,1,19.0,28.52,21.97,76.43,2.69,Culex quinquefasciatus,3,2.22
France,Montpellier,6,2025-12-10,HumanOdor_CO2,2,46.18,29.24,22.41,74.4,4.99,Aedes aegypti,13,1.68
France,Montpellier,3,2025-09-11,Light_CO2,1,28.87,38.01,29.97,68.53,6.48,Aedes aegypti,2,0.69
Netherlands,Nijmegen,1,2025-07-13,HumanOdor_CO2,4,100.0,0.0,26.14,81.81,5.94,Culex quinquefasciatus,42,1.18
France,Montpellier,3,2025-07-13,Light_CO2,1,28.87,38.01,23.61,77.49,6.92,Aedes aegypti,3,2.34
Netherlands,Utrecht,1,2026-01-09,Light_CO2,1,28.09,34.84,20.64,78.56,5.21,Culex pipiens,3,1.22
Spain,Barcelona,8,2025-11-10,HumanOdor_CO2,3,66.88,15.38,22.03,81.15,0.4,Anopheles gambiae,11,1.58
Netherlands,Nijmegen,9,2025-12-10,HumanOdor_CO2,2,55.84,34.12,27.5,103.79,4.56,Anopheles gambiae,7,2.42
Netherlands,Nijmegen,6,2025-12-10,Light_CO2,1,19.0,28.52,26.77,85.27,5.2,Aedes aegypti,5,1.14
France,Montpellier,2,2025-10-11,Light_CO2,2,51.25,33.14,20.87,62.07,3.04,Anopheles gambiae,11,2.38
Spain,Barcelona,7,2025-09-11,HumanOdor_CO2,3,70.08,19.22,25.4,84.67,0.62,Aedes albopictus,19,1.38
Spain,Barcelona,8,2025-04-14,Light_CO2,3,66.88,15.38,24.59,88.46,0.08,Culex quinquefasciatus,12,0.53
France,Montpellier,9,2025-03-15,HumanOdor_CO2,4,92.86,16.14,30.47,97.3,7.08,Aedes aegypti,43,2.38
France,Montpellier,5,2025-07-13,Light_CO2,2,57.07,28.25,25.6,70.75,6.55,Anopheles gambiae,9,1.63
Spain,Barcelona,8,2025-12-10,Light_CO2,3,66.88,15.38,25.95,74.52,4.56,Aedes albopictus,14,0.85
Spain,Barcelona,7,2025-04-14,HumanOdor_CO2,3,70.08,19.22,22.37,76.71,5.13,Culex pipiens,20,2.32
Spain,Barcelona,8,2025-12-10,Light_CO2,3,66.88,15.38,25.95,74.52,4.56,Anopheles gambiae,10,0.85
France,Montpellier,4,2025-07-13,Light_CO2,1,23.84,28.58,25.34,70.38,5.54,Culex quinquefasciatus,2,2.35
Netherlands,Nijmegen,3,2026-02-08,Light_CO2,4,96.11,0.16,24.04,84.91,7.48,Culex quinquefasciatus,27,0.81
Spain,Barcelona,3,2025-12-10,Light_CO2,4,94.45,16.13,22.42,78.42,1.85,Aedes albopictus,59,0.88
France,Montpellier,6,2025-11-10,HumanOdor_CO2,2,46.18,29.24,25.85,66.78,6.81,Culex pipiens,7,2.44
Netherlands,Nijmegen,4,2025-07-13,Light_CO2,3,77.09,28.93,22.17,72.4,5.04,Anopheles gambiae,16,0.88
Netherlands,Nijmegen,7,2025-12-10,HumanOdor_CO2,2,43.07,39.13,24.25,66.23,5.33,Aedes aegypti,3,0.59
Netherlands,Utrecht,5,2025-11-10,Light_CO2,3,68.72,23.91,24.94,86.04,1.49,Culex pipiens,21,0.89
Netherlands,Utrecht,5,2025-04-14,HumanOdor_CO2,3,68.72,23.91,19.69,78.92,1.84,Anopheles gambiae,9,1.04
Netherlands,Nijmegen,4,2025-09-11,Light_CO2,3,77.09,28.93,21.96,68.58,5.51,Anopheles gambiae,9,1.13
Netherlands,Utrecht,8,2025-11-10,Light_CO2,1,29.37,29.21,22.64,84.32,5.34,Culex quinquefasciatus,1,0.68
Spain,Barcelona,2,2026-02-08,Light_CO2,3,78.39,14.41,26.27,72.22,3.39,Culex quinquefasciatus,17,1.52
France,Montpellier,6,2026-01-09,Light_CO2,2,46.18,29.24,21.72,66.46,2.76,Culex pipiens,6,1.9
Netherlands,Nijmegen,8,2025-11-10,Light_CO2,1,23.65,38.02,25.39,76.14,0.7,Culex pipiens,11,1.97
Netherlands,Nijmegen,2,2025-10-11,Light_CO2,3,70.36,27.8,27.04,81.51,4.58,Anopheles gambiae,18,0.55
Netherlands,Utrecht,6,2025-11-10,HumanOdor_CO2,3,70.8,17.25,30.49,95.54,5.77,Anopheles gambiae,11,1.63
Netherlands,Nijmegen,1,2025-06-13,Light_CO2,4,100.0,0.0,23.94,90.04,6.01,Culex pipiens,31,1.23
Netherlands,Nijmegen,9,2025-09-11,HumanOdor_CO2,2,55.84,34.12,24.27,85.15,2.9,Culex quinquefasciatus,9,1.57
France,Montpellier,8,2025-05-14,Light_CO2,1,21.5,47.17,23.93,74.45,2.38,Anopheles gambiae,3,1.37
Netherlands,Utrecht,8,2025-11-10,Light_CO2,1,29.37,29.21,22.64,84.32,5.34,Culex pipiens,2,0.68
Netherlands,Utrecht,4,2026-01-09,HumanOdor_CO2,1,17.0,53.86,25.27,70.61,3.83,Culex pipiens,0,0.69
Spain,Barcelona,6,2025-10-11,HumanOdor_CO2,4,97.72,18.77,27.83,78.12,1.18,Culex pipiens,44,1.99
France,Montpellier,3,2025-09-11,Light_CO2,1,28.87,38.01,29.97,68.53,6.48,Culex quinquefasciatus,4,0.69
France,Montpellier,9,2026-02-08,Light_CO2,4,92.86,16.14,21.99,75.73,6.2,Aedes aegypti,43,0.7
Netherlands,Utrecht,8,2026-02-08,Light_CO2,1,29.37,29.21,27.16,75.62,3.96,Culex quinquefasciatus,4,1.09
Netherlands,Nijmegen,8,2025-06-13,HumanOdor_CO2,1,23.65,38.02,25.01,75.95,3.54,Aedes aegypti,5,1.71
Netherlands,Nijmegen,1,2025-05-14,Light_CO2,4,100.0,0.0,21.82,83.75,1.27,Anopheles gambiae,32,1.48
Netherlands,Nijmegen,2,2025-06-13,Light_CO2,3,70.36,27.8,22.61,85.51,5.56,Anopheles gambiae,15,1.52
France,Montpellier,8,2025-10-11,HumanOdor_CO2,1,21.5,47.17,17.94,83.35,5.96,Anopheles gambiae,7,1.48
France,Montpellier,1,2025-09-11,HumanOdor_CO2,1,25.77,41.14,25.52,79.35,4.92,Anopheles gambiae,5,1.62
Netherlands,Utrecht,3,2025-03-15,HumanOdor_CO2,3,81.2,25.86,28.68,92.38,6.32,Aedes albopictus,20,2.01
France,Montpellier,1,2026-01-09,HumanOdor_CO2,1,25.77,41.14,22.68,87.23,0.68,Culex quinquefasciatus,8,0.52
Netherlands,Utrecht,8,2025-10-11,HumanOdor_CO2,1,29.37,29.21,28.03,75.88,0.84,Aedes aegypti,4,0.59
France,Montpellier,6,2025-09-11,HumanOdor_CO2,2,46.18,29.24,30.32,74.07,7.13,Culex quinquefasciatus,8,0.73
Netherlands,Utrecht,1,2026-02-08,Light_CO2,1,28.09,34.84,24.29,74.64,2.95,Culex pipiens,3,1.67
Spain,Barcelona,9,2026-01-09,HumanOdor_CO2,1,22.5,47.58,25.1,77.16,3.93,Culex pipiens,0,2.44
Netherlands,Nijmegen,3,2025-05-14,Light_CO2,4,96.11,0.16,25.96,65.1,6.09,Aedes albopictus,52,2.17
Netherlands,Nijmegen,5,2025-03-15,Light_CO2,4,100.0,7.91,23.88,79.17,7.44,Anopheles gambiae,27,1.84
Spain,Barcelona,2,2025-08-12,HumanOdor_CO2,3,78.39,14.41,22.18,92.43,3.14,Aedes aegypti,30,2.28
Netherlands,Nijmegen,6,2025-06-13,HumanOdor_CO2,1,19.0,28.52,26.96,69.1,3.92,Culex pipiens,4,2.15
Spain,Barcelona,3,2025-03-15,Light_CO2,4,94.45,16.13,22.09,92.8,1.34,Culex pipiens,34,1.64
Spain,Barcelona,2,2025-08-12,HumanOdor_CO2,3,78.39,14.41,22.18,92.43,3.14,Culex quinquefasciatus,28,2.28
Spain,Barcelona,1,2025-10-11,Light_CO2,1,24.35,42.69,24.7,61.33,7.88,Aedes aegypti,8,0.54
Spain,Barcelona,7,2026-01-09,HumanOdor_CO2,3,70.08,19.22,26.59,96.54,3.3,Aedes aegypti,22,1.66
France,Montpellier,9,2025-06-13,HumanOdor_CO2,4,92.86,16.14,29.32,79.28,7.67,Aedes aegypti,30,2.05
Netherlands,Utrecht,7,2026-02-08,Light_CO2,4,99.0,14.24,22.45,87.86,4.12,Culex pipiens,36,0.66
Spain,Barcelona,4,2025-09-11,HumanOdor_CO2,1,25.66,55.74,29.69,73.21,2.44,Culex quinquefasciatus,0,1.62
Spain,Barcelona,5,2025-11-10,HumanOdor_CO2,1,22.9,29.84,26.23,75.65,4.08,Culex quinquefasciatus,0,2.25
Netherlands,Utrecht,4,2026-01-09,HumanOdor_CO2,1,17.0,53.86,25.27,70.61,3.83,Aedes albopictus,6,0.69
Spain,Barcelona,5,2025-03-15,Light_CO2,1,22.9,29.84,25.77,78.44,7.86,Culex pipiens,2,1.7
