"City","Site","Sampling_date","Country","Location.Site","Green_level","Green_area_coverage","Blue_area_coverage","Temperature","Relative_humidity","Wind_speed_10m","Trap_type","Mosquito_species","Mosquito_abundance","Biodiversity_index"
"Casablanca","Site_2",2024-01-01,"Morocco",2,2,18.24,32.52,22.27,49.58,2.09,"Light_CO2","Culex pipiens",29,1.38043507195413
"Casablanca","Site_2",2024-01-01,"Morocco",2,2,18.24,32.52,22.27,49.58,2.09,"Light_CO2","Aedes albopictus",23,1.38043507195413
"Casablanca","Site_2",2024-01-01,"Morocco",2,2,18.24,32.52,22.27,49.58,2.09,"Light_CO2","Culex quinquefasciatus",24,1.38043507195413
"Casablanca","Site_2",2024-01-01,"Morocco",2,2,18.24,32.52,22.27,49.58,2.09,"Light_CO2","Anopheles gambiae",22,1.38043507195413
"Utrecht","Site_3",2024-01-01,"Netherlands",3,3,45.95,27.98,25.83,59.77,6.38,"Light_CO2","Aedes albopictus",13,1.04458251759316
"Utrecht","Site_3",2024-01-01,"Netherlands",3,3,45.95,27.98,25.83,59.77,6.38,"Light_CO2","Anopheles gambiae",21,1.04458251759316
"Utrecht","Site_3",2024-01-01,"Netherlands",3,3,45.95,27.98,25.83,59.77,6.38,"Light_CO2","Aedes aegypti",30,1.04458251759316
"Nijmegen","Site_3",2024-01-01,"Netherlands",3,2,53.36,41.52,23.5,78.98,3.38,"Light_CO2","Culex quinquefasciatus",18,1.38552231877467
"Nijmegen","Site_3",2024-01-01,"Netherlands",3,2,53.36,41.52,23.5,78.98,3.38,"Light_CO2","Aedes albopictus",17,1.38552231877467
"Nijmegen","Site_3",2024-01-01,"Netherlands",3,2,53.36,41.52,23.5,78.98,3.38,"Light_CO2","Culex pipiens",19,1.38552231877467
"Nijmegen","Site_3",2024-01-01,"Netherlands",3,2,53.36,41.52,23.5,78.98,3.38,"Light_CO2","Aedes aegypti",18,1.38552231877467
"Montpellier","Site_3",2024-01-01,"France",3,2,12.87,44.56,18.91,50.55,5.2,"Light_CO2","Aedes aegypti",25,1.07142503586284
"Montpellier","Site_3",2024-01-01,"France",3,2,12.87,44.56,18.91,50.55,5.2,"Light_CO2","Culex pipiens",15,1.07142503586284
"Montpellier","Site_3",2024-01-01,"France",3,2,12.87,44.56,18.91,50.55,5.2,"Light_CO2","Anopheles gambiae",26,1.07142503586284
"Barcelona","Site_3",2024-01-01,"Spain",3,2,7.87,38.59,24.76,45.43,3.77,"Light_CO2","Culex pipiens",33,1.31923122022534
"Barcelona","Site_3",2024-01-01,"Spain",3,2,7.87,38.59,24.76,45.43,3.77,"Light_CO2","Anopheles gambiae",32,1.31923122022534
"Barcelona","Site_3",2024-01-01,"Spain",3,2,7.87,38.59,24.76,45.43,3.77,"Light_CO2","Culex quinquefasciatus",12,1.31923122022534
"Barcelona","Site_3",2024-01-01,"Spain",3,2,7.87,38.59,24.76,45.43,3.77,"Light_CO2","Aedes aegypti",21,1.31923122022534
"Rabat","Site_3",2024-01-01,"Morocco",3,2,62.82,27.79,23.94,41.89,1.1,"Light_CO2","Culex pipiens",9,0.602440243520342
"Rabat","Site_3",2024-01-01,"Morocco",3,2,62.82,27.79,23.94,41.89,1.1,"Light_CO2","Anopheles gambiae",22,0.602440243520342
"Casablanca","Site_3",2024-01-01,"Morocco",3,1,76.8,43.68,26.22,50.24,3.76,"Light_CO2","Aedes aegypti",19,1.54110043940306
"Casablanca","Site_3",2024-01-01,"Morocco",3,1,76.8,43.68,26.22,50.24,3.76,"Light_CO2","Anopheles gambiae",22,1.54110043940306
"Casablanca","Site_3",2024-01-01,"Morocco",3,1,76.8,43.68,26.22,50.24,3.76,"Light_CO2","Culex pipiens",14,1.54110043940306
"Casablanca","Site_3",2024-01-01,"Morocco",3,1,76.8,43.68,26.22,50.24,3.76,"Light_CO2","Aedes albopictus",23,1.54110043940306
"Casablanca","Site_3",2024-01-01,"Morocco",3,1,76.8,43.68,26.22,50.24,3.76,"Light_CO2","Culex quinquefasciatus",7,1.54110043940306
"Utrecht","Site_4",2024-01-01,"Netherlands",4,3,13.3,12.85,19.8,49.9,3.72,"HumanOdor_CO2","Culex quinquefasciatus",19,1.58551777982941
"Utrecht","Site_4",2024-01-01,"Netherlands",4,3,13.3,12.85,19.8,49.9,3.72,"HumanOdor_CO2","Aedes albopictus",12,1.58551777982941
"Utrecht","Site_4",2024-01-01,"Netherlands",4,3,13.3,12.85,19.8,49.9,3.72,"HumanOdor_CO2","Aedes aegypti",18,1.58551777982941
"Utrecht","Site_4",2024-01-01,"Netherlands",4,3,13.3,12.85,19.8,49.9,3.72,"HumanOdor_CO2","Anopheles gambiae",12,1.58551777982941
"Utrecht","Site_4",2024-01-01,"Netherlands",4,3,13.3,12.85,19.8,49.9,3.72,"HumanOdor_CO2","Culex pipiens",20,1.58551777982941
"Nijmegen","Site_4",2024-01-01,"Netherlands",4,3,35.17,32.4,16.1,50.52,2.4,"Light_CO2","Aedes aegypti",23,1.0501433675287
"Nijmegen","Site_4",2024-01-01,"Netherlands",4,3,35.17,32.4,16.1,50.52,2.4,"Light_CO2","Culex pipiens",14,1.0501433675287
"Nijmegen","Site_4",2024-01-01,"Netherlands",4,3,35.17,32.4,16.1,50.52,2.4,"Light_CO2","Aedes albopictus",31,1.0501433675287
"Montpellier","Site_4",2024-01-01,"France",4,3,7.06,33.37,21.58,59.11,6.26,"HumanOdor_CO2","Aedes aegypti",16,1.3807969600368
"Montpellier","Site_4",2024-01-01,"France",4,3,7.06,33.37,21.58,59.11,6.26,"HumanOdor_CO2","Anopheles gambiae",19,1.3807969600368
"Montpellier","Site_4",2024-01-01,"France",4,3,7.06,33.37,21.58,59.11,6.26,"HumanOdor_CO2","Culex quinquefasciatus",21,1.3807969600368
"Montpellier","Site_4",2024-01-01,"France",4,3,7.06,33.37,21.58,59.11,6.26,"HumanOdor_CO2","Culex pipiens",17,1.3807969600368
"Barcelona","Site_4",2024-01-01,"Spain",4,1,36.08,33.7,23.51,57.06,5.51,"Light_CO2","Aedes aegypti",23,1.37911833701291
"Barcelona","Site_4",2024-01-01,"Spain",4,1,36.08,33.7,23.51,57.06,5.51,"Light_CO2","Aedes albopictus",23,1.37911833701291
"Barcelona","Site_4",2024-01-01,"Spain",4,1,36.08,33.7,23.51,57.06,5.51,"Light_CO2","Anopheles gambiae",22,1.37911833701291
"Barcelona","Site_4",2024-01-01,"Spain",4,1,36.08,33.7,23.51,57.06,5.51,"Light_CO2","Culex pipiens",17,1.37911833701291
"Rabat","Site_4",2024-01-01,"Morocco",4,2,20.67,8.6,29.8,41.31,3.58,"HumanOdor_CO2","Anopheles gambiae",12,1.09588712421255
"Rabat","Site_4",2024-01-01,"Morocco",4,2,20.67,8.6,29.8,41.31,3.58,"HumanOdor_CO2","Culex pipiens",12,1.09588712421255
"Rabat","Site_4",2024-01-01,"Morocco",4,2,20.67,8.6,29.8,41.31,3.58,"HumanOdor_CO2","Aedes albopictus",14,1.09588712421255
"Casablanca","Site_4",2024-01-01,"Morocco",4,1,73.86,37.15,21.65,42.15,2.4,"Light_CO2","Culex quinquefasciatus",14,1.07735815675058
"Casablanca","Site_4",2024-01-01,"Morocco",4,1,73.86,37.15,21.65,42.15,2.4,"Light_CO2","Anopheles gambiae",17,1.07735815675058
"Casablanca","Site_4",2024-01-01,"Morocco",4,1,73.86,37.15,21.65,42.15,2.4,"Light_CO2","Culex pipiens",23,1.07735815675058
"Utrecht","Site_5",2024-01-01,"Netherlands",5,2,22.12,5.47,24.14,57.97,2.33,"HumanOdor_CO2","Culex quinquefasciatus",21,0.562335124618809
"Utrecht","Site_5",2024-01-01,"Netherlands",5,2,22.12,5.47,24.14,57.97,2.33,"HumanOdor_CO2","Anopheles gambiae",7,0.562335124618809
"Nijmegen","Site_5",2024-01-01,"Netherlands",5,2,78.64,15.71,21.58,43.56,3.8,"HumanOdor_CO2","Aedes albopictus",19,0.686210692242764
"Nijmegen","Site_5",2024-01-01,"Netherlands",5,2,78.64,15.71,21.58,43.56,3.8,"HumanOdor_CO2","Culex pipiens",15,0.686210692242764
"Montpellier","Site_5",2024-01-01,"France",5,3,25.38,23.66,32.78,74.75,5.77,"Light_CO2","Anopheles gambiae",21,0.685314187276458
"Montpellier","Site_5",2024-01-01,"France",5,3,25.38,23.66,32.78,74.75,5.77,"Light_CO2","Aedes aegypti",27,0.685314187276458
"Barcelona","Site_5",2024-01-01,"Spain",5,3,44.87,24.21,28.69,75.62,2.86,"HumanOdor_CO2","Anopheles gambiae",16,1.38456321817706
"Barcelona","Site_5",2024-01-01,"Spain",5,3,44.87,24.21,28.69,75.62,2.86,"HumanOdor_CO2","Aedes aegypti",18,1.38456321817706
"Barcelona","Site_5",2024-01-01,"Spain",5,3,44.87,24.21,28.69,75.62,2.86,"HumanOdor_CO2","Culex pipiens",18,1.38456321817706
"Barcelona","Site_5",2024-01-01,"Spain",5,3,44.87,24.21,28.69,75.62,2.86,"HumanOdor_CO2","Aedes albopictus",16,1.38456321817706
"Rabat","Site_5",2024-01-01,"Morocco",5,3,75.95,8.5,20.84,44.86,2.43,"Light_CO2","Aedes aegypti",23,1.08904958610497
"Rabat","Site_5",2024-01-01,"Morocco",5,3,75.95,8.5,20.84,44.86,2.43,"Light_CO2","Aedes albopictus",21,1.08904958610497
"Rabat","Site_5",2024-01-01,"Morocco",5,3,75.95,8.5,20.84,44.86,2.43,"Light_CO2","Culex quinquefasciatus",29,1.08904958610497
"Casablanca","Site_5",2024-01-01,"Morocco",5,3,72.87,8.52,21.36,65.86,1.35,"Light_CO2","Aedes aegypti",25,1.60474108635956
"Casablanca","Site_5",2024-01-01,"Morocco",5,3,72.87,8.52,21.36,65.86,1.35,"Light_CO2","Culex quinquefasciatus",24,1.60474108635956
"Casablanca","Site_5",2024-01-01,"Morocco",5,3,72.87,8.52,21.36,65.86,1.35,"Light_CO2","Culex pipiens",23,1.60474108635956
"Casablanca","Site_5",2024-01-01,"Morocco",5,3,72.87,8.52,21.36,65.86,1.35,"Light_CO2","Aedes albopictus",19,1.60474108635956
"Casablanca","Site_5",2024-01-01,"Morocco",5,3,72.87,8.52,21.36,65.86,1.35,"Light_CO2","Anopheles gambiae",21,1.60474108635956
"Utrecht","Site_6",2024-01-01,"Netherlands",6,1,76.18,36.53,21.89,64.9,2.95,"HumanOdor_CO2","Culex pipiens",22,1.05937830749008
"Utrecht","Site_6",2024-01-01,"Netherlands",6,1,76.18,36.53,21.89,64.9,2.95,"HumanOdor_CO2","Aedes aegypti",12,1.05937830749008
"Utrecht","Site_6",2024-01-01,"Netherlands",6,1,76.18,36.53,21.89,64.9,2.95,"HumanOdor_CO2","Aedes albopictus",13,1.05937830749008
"Nijmegen","Site_6",2024-01-01,"Netherlands",6,3,27.58,13.99,22.57,52.23,2.16,"HumanOdor_CO2","Aedes albopictus",20,1.09185487816962
"Nijmegen","Site_6",2024-01-01,"Netherlands",6,3,27.58,13.99,22.57,52.23,2.16,"HumanOdor_CO2","Aedes aegypti",21,1.09185487816962
"Nijmegen","Site_6",2024-01-01,"Netherlands",6,3,27.58,13.99,22.57,52.23,2.16,"HumanOdor_CO2","Anopheles gambiae",26,1.09185487816962
"Montpellier","Site_6",2024-01-01,"France",6,2,62.46,23.2,19.17,44.47,5.32,"Light_CO2","Culex quinquefasciatus",29,0.650818055871559
"Montpellier","Site_6",2024-01-01,"France",6,2,62.46,23.2,19.17,44.47,5.32,"Light_CO2","Anopheles gambiae",16,0.650818055871559
"Barcelona","Site_6",2024-01-01,"Spain",6,2,19.2,8.24,22.4,51.46,3.43,"HumanOdor_CO2","Culex quinquefasciatus",15,1.52061400695428
"Barcelona","Site_6",2024-01-01,"Spain",6,2,19.2,8.24,22.4,51.46,3.43,"HumanOdor_CO2","Aedes aegypti",7,1.52061400695428
"Barcelona","Site_6",2024-01-01,"Spain",6,2,19.2,8.24,22.4,51.46,3.43,"HumanOdor_CO2","Aedes albopictus",14,1.52061400695428
"Barcelona","Site_6",2024-01-01,"Spain",6,2,19.2,8.24,22.4,51.46,3.43,"HumanOdor_CO2","Culex pipiens",10,1.52061400695428
"Barcelona","Site_6",2024-01-01,"Spain",6,2,19.2,8.24,22.4,51.46,3.43,"HumanOdor_CO2","Anopheles gambiae",25,1.52061400695428
"Rabat","Site_6",2024-01-01,"Morocco",6,3,12.6,12.64,18.52,63.97,6.27,"Light_CO2","Aedes albopictus",35,1.07710628769641
"Rabat","Site_6",2024-01-01,"Morocco",6,3,12.6,12.64,18.52,63.97,6.27,"Light_CO2","Anopheles gambiae",31,1.07710628769641
"Rabat","Site_6",2024-01-01,"Morocco",6,3,12.6,12.64,18.52,63.97,6.27,"Light_CO2","Aedes aegypti",21,1.07710628769641
"Casablanca","Site_6",2024-01-01,"Morocco",6,2,11.45,45.39,16.52,57.97,5.46,"HumanOdor_CO2","Anopheles gambiae",20,1.55762092492716
"Casablanca","Site_6",2024-01-01,"Morocco",6,2,11.45,45.39,16.52,57.97,5.46,"HumanOdor_CO2","Aedes aegypti",18,1.55762092492716
"Casablanca","Site_6",2024-01-01,"Morocco",6,2,11.45,45.39,16.52,57.97,5.46,"HumanOdor_CO2","Culex quinquefasciatus",14,1.55762092492716
"Casablanca","Site_6",2024-01-01,"Morocco",6,2,11.45,45.39,16.52,57.97,5.46,"HumanOdor_CO2","Aedes albopictus",7,1.55762092492716
"Casablanca","Site_6",2024-01-01,"Morocco",6,2,11.45,45.39,16.52,57.97,5.46,"HumanOdor_CO2","Culex pipiens",18,1.55762092492716
"Utrecht","Site_7",2024-01-01,"Netherlands",7,1,43.19,47.49,26.02,80.73,1.73,"Light_CO2","Culex quinquefasciatus",9,1.06094421079075
"Utrecht","Site_7",2024-01-01,"Netherlands",7,1,43.19,47.49,26.02,80.73,1.73,"Light_CO2","Culex pipiens",15,1.06094421079075
"Utrecht","Site_7",2024-01-01,"Netherlands",7,1,43.19,47.49,26.02,80.73,1.73,"Light_CO2","Aedes aegypti",18,1.06094421079075
"Nijmegen","Site_7",2024-01-01,"Netherlands",7,3,48.32,21.61,25.28,83.38,5.36,"Light_CO2","Aedes aegypti",23,1.3582968943648
"Nijmegen","Site_7",2024-01-01,"Netherlands",7,3,48.32,21.61,25.28,83.38,5.36,"Light_CO2","Aedes albopictus",19,1.3582968943648
"Nijmegen","Site_7",2024-01-01,"Netherlands",7,3,48.32,21.61,25.28,83.38,5.36,"Light_CO2","Anopheles gambiae",33,1.3582968943648
"Nijmegen","Site_7",2024-01-01,"Netherlands",7,3,48.32,21.61,25.28,83.38,5.36,"Light_CO2","Culex quinquefasciatus",19,1.3582968943648
"Montpellier","Site_7",2024-01-01,"France",7,2,56.52,23.9,19.16,40.73,2.96,"Light_CO2","Aedes albopictus",21,1.59219225733132
"Montpellier","Site_7",2024-01-01,"France",7,2,56.52,23.9,19.16,40.73,2.96,"Light_CO2","Anopheles gambiae",14,1.59219225733132
"Montpellier","Site_7",2024-01-01,"France",7,2,56.52,23.9,19.16,40.73,2.96,"Light_CO2","Culex quinquefasciatus",13,1.59219225733132
"Montpellier","Site_7",2024-01-01,"France",7,2,56.52,23.9,19.16,40.73,2.96,"Light_CO2","Aedes aegypti",15,1.59219225733132
"Montpellier","Site_7",2024-01-01,"France",7,2,56.52,23.9,19.16,40.73,2.96,"Light_CO2","Culex pipiens",19,1.59219225733132
"Barcelona","Site_7",2024-01-01,"Spain",7,1,23.87,3.85,28.36,75.87,2.96,"Light_CO2","Anopheles gambiae",15,1.35259882779415
"Barcelona","Site_7",2024-01-01,"Spain",7,1,23.87,3.85,28.36,75.87,2.96,"Light_CO2","Aedes albopictus",19,1.35259882779415
"Barcelona","Site_7",2024-01-01,"Spain",7,1,23.87,3.85,28.36,75.87,2.96,"Light_CO2","Culex quinquefasciatus",9,1.35259882779415
"Barcelona","Site_7",2024-01-01,"Spain",7,1,23.87,3.85,28.36,75.87,2.96,"Light_CO2","Culex pipiens",17,1.35259882779415
"Rabat","Site_7",2024-01-01,"Morocco",7,2,38.41,46.28,21.04,89.47,3.33,"HumanOdor_CO2","Culex quinquefasciatus",11,1.37337922881904
"Rabat","Site_7",2024-01-01,"Morocco",7,2,38.41,46.28,21.04,89.47,3.33,"HumanOdor_CO2","Aedes aegypti",14,1.37337922881904
"Rabat","Site_7",2024-01-01,"Morocco",7,2,38.41,46.28,21.04,89.47,3.33,"HumanOdor_CO2","Culex pipiens",16,1.37337922881904
"Rabat","Site_7",2024-01-01,"Morocco",7,2,38.41,46.28,21.04,89.47,3.33,"HumanOdor_CO2","Aedes albopictus",17,1.37337922881904
"Casablanca","Site_7",2024-01-01,"Morocco",7,3,45.59,12.57,20.58,52.02,3.14,"HumanOdor_CO2","Culex quinquefasciatus",18,1.36535101874642
"Casablanca","Site_7",2024-01-01,"Morocco",7,3,45.59,12.57,20.58,52.02,3.14,"HumanOdor_CO2","Aedes aegypti",25,1.36535101874642
"Casablanca","Site_7",2024-01-01,"Morocco",7,3,45.59,12.57,20.58,52.02,3.14,"HumanOdor_CO2","Culex pipiens",16,1.36535101874642
"Casablanca","Site_7",2024-01-01,"Morocco",7,3,45.59,12.57,20.58,52.02,3.14,"HumanOdor_CO2","Aedes albopictus",26,1.36535101874642
"Utrecht","Site_8",2024-01-01,"Netherlands",8,2,47.61,23.83,17.23,46.07,5.39,"Light_CO2","Aedes albopictus",23,1.080488802218
"Utrecht","Site_8",2024-01-01,"Netherlands",8,2,47.61,23.83,17.23,46.07,5.39,"Light_CO2","Culex quinquefasciatus",15,1.080488802218
"Utrecht","Site_8",2024-01-01,"Netherlands",8,2,47.61,23.83,17.23,46.07,5.39,"Light_CO2","Anopheles gambiae",23,1.080488802218
"Nijmegen","Site_8",2024-01-01,"Netherlands",8,1,74.78,33.6,21.88,86.69,1.63,"Light_CO2","Anopheles gambiae",12,1.07757226571284
"Nijmegen","Site_8",2024-01-01,"Netherlands",8,1,74.78,33.6,21.88,86.69,1.63,"Light_CO2","Culex pipiens",17,1.07757226571284
"Nijmegen","Site_8",2024-01-01,"Netherlands",8,1,74.78,33.6,21.88,86.69,1.63,"Light_CO2","Culex quinquefasciatus",20,1.07757226571284
"Montpellier","Site_8",2024-01-01,"France",8,1,17.93,19.81,21.32,81.33,6.13,"Light_CO2","Anopheles gambiae",19,1.59306875523746
"Montpellier","Site_8",2024-01-01,"France",8,1,17.93,19.81,21.32,81.33,6.13,"Light_CO2","Aedes albopictus",22,1.59306875523746
"Montpellier","Site_8",2024-01-01,"France",8,1,17.93,19.81,21.32,81.33,6.13,"Light_CO2","Culex pipiens",18,1.59306875523746
"Montpellier","Site_8",2024-01-01,"France",8,1,17.93,19.81,21.32,81.33,6.13,"Light_CO2","Aedes aegypti",22,1.59306875523746
"Montpellier","Site_8",2024-01-01,"France",8,1,17.93,19.81,21.32,81.33,6.13,"Light_CO2","Culex quinquefasciatus",13,1.59306875523746
"Barcelona","Site_8",2024-01-01,"Spain",8,1,7.94,13.53,22.34,47.9,1.42,"HumanOdor_CO2","Anopheles gambiae",18,1.09703236035207
"Barcelona","Site_8",2024-01-01,"Spain",8,1,7.94,13.53,22.34,47.9,1.42,"HumanOdor_CO2","Culex quinquefasciatus",16,1.09703236035207
"Barcelona","Site_8",2024-01-01,"Spain",8,1,7.94,13.53,22.34,47.9,1.42,"HumanOdor_CO2","Culex pipiens",16,1.09703236035207
"Rabat","Site_8",2024-01-01,"Morocco",8,1,12.42,32.99,24.23,89.06,6.23,"Light_CO2","Aedes aegypti",14,0.688457201789363
"Rabat","Site_8",2024-01-01,"Morocco",8,1,12.42,32.99,24.23,89.06,6.23,"Light_CO2","Aedes albopictus",17,0.688457201789363
"Casablanca","Site_8",2024-01-01,"Morocco",8,2,6.16,13.34,26.53,87.03,2.13,"Light_CO2","Aedes albopictus",15,0.646723832869403
"Casablanca","Site_8",2024-01-01,"Morocco",8,2,6.16,13.34,26.53,87.03,2.13,"Light_CO2","Anopheles gambiae",28,0.646723832869403
"Utrecht","Site_9",2024-01-01,"Netherlands",9,1,74.03,42.73,23.64,48.63,2.96,"Light_CO2","Aedes aegypti",27,0.685314187276458
"Utrecht","Site_9",2024-01-01,"Netherlands",9,1,74.03,42.73,23.64,48.63,2.96,"Light_CO2","Aedes albopictus",21,0.685314187276458
"Nijmegen","Site_9",2024-01-01,"Netherlands",9,3,60.98,19.24,26.96,57.4,2.02,"Light_CO2","Aedes aegypti",23,1.60155079460312
"Nijmegen","Site_9",2024-01-01,"Netherlands",9,3,60.98,19.24,26.96,57.4,2.02,"Light_CO2","Culex pipiens",23,1.60155079460312
"Nijmegen","Site_9",2024-01-01,"Netherlands",9,3,60.98,19.24,26.96,57.4,2.02,"Light_CO2","Anopheles gambiae",30,1.60155079460312
"Nijmegen","Site_9",2024-01-01,"Netherlands",9,3,60.98,19.24,26.96,57.4,2.02,"Light_CO2","Aedes albopictus",30,1.60155079460312
"Nijmegen","Site_9",2024-01-01,"Netherlands",9,3,60.98,19.24,26.96,57.4,2.02,"Light_CO2","Culex quinquefasciatus",24,1.60155079460312
"Montpellier","Site_9",2024-01-01,"France",9,3,50.41,49.84,27.33,52.48,5.44,"HumanOdor_CO2","Anopheles gambiae",19,1.37745936912185
"Montpellier","Site_9",2024-01-01,"France",9,3,50.41,49.84,27.33,52.48,5.44,"HumanOdor_CO2","Aedes albopictus",23,1.37745936912185
